Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2017-100001,2016-08-16,2016-08-16,First Class,CUST-5012,Consumer,United States,Chicago,Illinois,23434,Central,PROD-181520,Technology,Phones,Cordless Office Phone,25.82,1,0.1,-1.56
CA-2018-100002,2016-02-24,2016-02-27,Same Day,CUST-4611,Corporate,United States,San Jose,California,46463,West,PROD-472516,Furniture,Chairs,Mesh Task Chair,991.8,4,0.1,-70.23
CA-2016-100003,2017-11-20,2017-11-21,Second Class,CUST-7224,Consumer,United States,Philadelphia,Pennsylvania,55082,East,PROD-245086,Technology,Machines,All-in-One Printer,2221.46,6,0.0,852.75
CA-2017-100004,2018-02-14,2018-02-15,First Class,CUST-6925,Home Office,United States,Houston,Texas,19116,South,PROD-244766,Furniture,Chairs,Executive Leather Chair,684.98,1,0.0,19.23
CA-2018-100005,2018-07-17,2018-07-22,Standard Class,CUST-7065,Corporate,United States,Houston,Texas,97841,South,PROD-631264,Office Supplies,Labels,Address Labels 1000 pack,2294.13,5,0.1,-233.91
CA-2016-100006,2018-02-16,2018-02-20,Standard Class,CUST-6313,Consumer,United States,Houston,Texas,14207,South,PROD-316180,Office Supplies,Storage,Mobile File Cart,138.19,1,0.2,-10.01
CA-2017-100007,2018-10-19,2018-10-25,Same Day,CUST-3340,Corporate,United States,Chicago,Illinois,42325,Central,PROD-598119,Technology,Machines,Inkjet Printer,1451.36,5,0.1,578.22
CA-2018-100008,2016-10-10,2016-10-17,Second Class,CUST-1771,Consumer,United States,Chicago,Illinois,92240,Central,PROD-728041,Furniture,Furnishings,Picture Frame Set,217.62,1,0.3,25.56
CA-2016-100009,2016-01-24,2016-01-25,First Class,CUST-6573,Consumer,United States,Phoenix,Arizona,66985,West,PROD-266564,Furniture,Furnishings,Desk Lamp,3366.25,6,0.2,1289.72
CA-2017-100010,2016-12-31,2017-01-01,First Class,CUST-9317,Home Office,United States,Houston,Texas,30032,South,PROD-608919,Office Supplies,Paper,A4 Printer Paper 500 sheets,1313.52,5,0.0,-174.54
CA-2018-100011,2018-01-13,2018-01-17,Standard Class,CUST-1949,Consumer,United States,San Jose,California,20322,West,PROD-266564,Furniture,Furnishings,Desk Lamp,2762.27,5,0.1,540.99
CA-2016-100012,2016-12-04,2016-12-08,Same Day,CUST-4470,Home Office,United States,Houston,Texas,50857,South,PROD-631264,Office Supplies,Labels,Address Labels 1000 pack,2016.54,4,0.3,-256.9
CA-2017-100013,2017-04-05,2017-04-06,First Class,CUST-1344,Home Office,United States,Dallas,Texas,40161,South,PROD-913145,Technology,Accessories,Wireless Mouse,567.73,1,0.0,-35.56
CA-2018-100014,2016-03-05,2016-03-10,Second Class,CUST-9423,Consumer,United States,Phoenix,Arizona,97684,West,PROD-608919,Office Supplies,Paper,A4 Printer Paper 500 sheets,3144.68,6,0.3,-170.45
CA-2016-100015,2018-08-26,2018-09-01,Standard Class,CUST-2545,Consumer,United States,San Antonio,Texas,56438,South,PROD-316180,Office Supplies,Storage,Mobile File Cart,288.4,6,0.0,-47.19
CA-2017-100016,2017-11-25,2017-11-26,Standard Class,CUST-4139,Consumer,United States,Dallas,Texas,68800,South,PROD-266564,Furniture,Furnishings,Desk Lamp,1118.37,3,0.0,73.68
CA-2018-100017,2016-07-19,2016-07-19,Second Class,CUST-2528,Consumer,United States,Chicago,Illinois,63269,Central,PROD-943888,Office Supplies,Storage,Plastic Storage Box,2600.79,4,0.1,71.22
CA-2016-100018,2018-03-10,2018-03-14,Same Day,CUST-5673,Corporate,United States,Dallas,Texas,96752,South,PROD-844518,Technology,Copiers,Commercial Copier 3000,481.77,2,0.0,71.07
CA-2017-100019,2016-05-04,2016-05-09,Second Class,CUST-1821,Home Office,United States,San Diego,California,75909,West,PROD-913145,Technology,Accessories,Wireless Mouse,309.1,5,0.1,-49.11
CA-2018-100020,2016-05-19,2016-05-22,Same Day,CUST-2964,Home Office,United States,Houston,Texas,85880,South,PROD-797682,Technology,Phones,Smartphone X 128GB,1688.36,4,0.2,609.2
CA-2016-100021,2017-02-22,2017-02-27,Standard Class,CUST-5351,Corporate,United States,Chicago,Illinois,98039,Central,PROD-598119,Technology,Machines,Inkjet Printer,2230.71,3,0.0,-433.67
CA-2017-100022,2016-07-23,2016-07-24,Standard Class,CUST-9288,Corporate,United States,Chicago,Illinois,55745,Central,PROD-244766,Furniture,Chairs,Executive Leather Chair,312.98,3,0.2,52.27
CA-2018-100023,2018-12-19,2018-12-19,First Class,CUST-2697,Consumer,United States,Phoenix,Arizona,25129,West,PROD-044240,Furniture,Storage,Plastic Storage Box,618.29,3,0.1,142.56
CA-2016-100024,2017-02-20,2017-02-24,Same Day,CUST-5114,Consumer,United States,Los Angeles,California,93136,West,PROD-389073,Office Supplies,Art,Dry Erase Markers,243.16,1,0.1,44.32
CA-2017-100025,2017-06-20,2017-06-22,Same Day,CUST-8007,Home Office,United States,New York,New York,24663,East,PROD-472516,Furniture,Chairs,Mesh Task Chair,601.65,1,0.1,34.82
CA-2018-100026,2016-03-26,2016-03-30,First Class,CUST-1653,Corporate,United States,Houston,Texas,99399,South,PROD-132522,Furniture,Bookcases,Sauder Heritage Bookcase,2477.6,5,0.3,952.15
CA-2016-100027,2016-11-12,2016-11-15,Standard Class,CUST-3900,Corporate,United States,New York,New York,33509,East,PROD-598119,Technology,Machines,Inkjet Printer,3736.43,6,0.1,-149.15
CA-2017-100028,2016-08-09,2016-08-15,Second Class,CUST-8711,Consumer,United States,Houston,Texas,70332,South,PROD-389073,Office Supplies,Art,Dry Erase Markers,42.86,2,0.1,1.67
CA-2018-100029,2017-07-24,2017-07-25,First Class,CUST-6753,Home Office,United States,Dallas,Texas,62386,South,PROD-245086,Technology,Machines,All-in-One Printer,561.8,1,0.2,-52.17
CA-2016-100030,2017-06-27,2017-06-27,Second Class,CUST-8119,Corporate,United States,Philadelphia,Pennsylvania,67199,East,PROD-181520,Technology,Phones,Cordless Office Phone,780.56,5,0.0,175.84
CA-2017-100031,2016-01-04,2016-01-07,First Class,CUST-8066,Consumer,United States,Philadelphia,Pennsylvania,91678,East,PROD-631264,Office Supplies,Labels,Address Labels 1000 pack,3458.58,6,0.2,692.19
CA-2018-100032,2017-10-30,2017-11-05,First Class,CUST-3085,Consumer,United States,San Antonio,Texas,97153,South,PROD-631264,Office Supplies,Labels,Address Labels 1000 pack,1601.04,5,0.3,206.15
CA-2016-100033,2016-01-01,2016-01-05,First Class,CUST-4443,Corporate,United States,San Jose,California,89516,West,PROD-598119,Technology,Machines,Inkjet Printer,1283.46,4,0.1,136.95
CA-2017-100034,2016-12-13,2016-12-14,First Class,CUST-9445,Home Office,United States,San Jose,California,53933,West,PROD-472516,Furniture,Chairs,Mesh Task Chair,495.69,3,0.1,-55.31
CA-2018-100035,2016-04-04,2016-04-07,Same Day,CUST-2193,Corporate,United States,San Antonio,Texas,92544,South,PROD-444595,Technology,Accessories,Mechanical Keyboard,1161.81,4,0.1,224.97
CA-2016-100036,2016-01-12,2016-01-13,Same Day,CUST-4585,Consumer,United States,Dallas,Texas,70889,South,PROD-044240,Furniture,Storage,Plastic Storage Box,257.52,1,0.3,51.64
CA-2017-100037,2017-10-11,2017-10-18,Same Day,CUST-9976,Corporate,United States,Chicago,Illinois,72216,Central,PROD-389073,Office Supplies,Art,Dry Erase Markers,946.94,6,0.3,166.71
CA-2018-100038,2017-07-16,2017-07-23,Second Class,CUST-5681,Consumer,United States,Phoenix,Arizona,54020,West,PROD-173509,Office Supplies,Appliances,Office Shredder,174.87,2,0.3,37.84
CA-2016-100039,2017-03-14,2017-03-15,Same Day,CUST-7678,Corporate,United States,Dallas,Texas,71069,South,PROD-491151,Office Supplies,Binders,A4 2-Ring Binder,1258.54,4,0.0,395.23
CA-2017-100040,2018-02-18,2018-02-25,Second Class,CUST-6763,Corporate,United States,San Antonio,Texas,64921,South,PROD-444595,Technology,Accessories,Mechanical Keyboard,310.78,2,0.3,-56.74
CA-2018-100041,2017-11-19,2017-11-25,Standard Class,CUST-8657,Consumer,United States,San Jose,California,80008,West,PROD-728041,Furniture,Furnishings,Picture Frame Set,2660.42,5,0.0,493.91
CA-2016-100042,2016-10-04,2016-10-11,Standard Class,CUST-1823,Corporate,United States,San Antonio,Texas,52906,South,PROD-293155,Furniture,Furnishings,Wall Clock,1281.37,3,0.3,-42.34
CA-2017-100043,2018-05-13,2018-05-17,Second Class,CUST-8705,Consumer,United States,Dallas,Texas,16826,South,PROD-608919,Office Supplies,Paper,A4 Printer Paper 500 sheets,222.03,6,0.0,82.1
CA-2018-100044,2017-02-12,2017-02-12,Standard Class,CUST-4908,Consumer,United States,San Diego,California,97747,West,PROD-044240,Furniture,Storage,Plastic Storage Box,1795.44,4,0.2,-178.33
CA-2016-100045,2016-08-22,2016-08-24,First Class,CUST-2771,Home Office,United States,New York,New York,50888,East,PROD-844518,Technology,Copiers,Commercial Copier 3000,878.43,6,0.1,-121.98
CA-2017-100046,2017-09-09,2017-09-10,Second Class,CUST-6688,Home Office,United States,San Antonio,Texas,96706,South,PROD-499462,Office Supplies,Binders,D-Ring Binder 3in,476.29,1,0.3,-65.1
CA-2018-100047,2018-01-11,2018-01-18,Standard Class,CUST-8135,Consumer,United States,Dallas,Texas,95256,South,PROD-209576,Office Supplies,Appliances,Electric Pencil Sharpener,1124.1,4,0.2,-7.44
CA-2016-100048,2017-05-17,2017-05-18,First Class,CUST-8385,Consumer,United States,San Diego,California,84691,West,PROD-844518,Technology,Copiers,Commercial Copier 3000,318.38,1,0.2,-28.94
CA-2017-100049,2017-03-10,2017-03-15,First Class,CUST-6576,Corporate,United States,San Jose,California,46211,West,PROD-797682,Technology,Phones,Smartphone X 128GB,137.81,1,0.3,12.84
CA-2018-100050,2017-05-07,2017-05-14,Same Day,CUST-8342,Consumer,United States,Los Angeles,California,48566,West,PROD-728041,Furniture,Furnishings,Picture Frame Set,397.49,2,0.2,33.37
CA-2016-100051,2018-12-23,2018-12-28,Same Day,CUST-6419,Corporate,United States,San Diego,California,45509,West,PROD-389073,Office Supplies,Art,Dry Erase Markers,462.74,1,0.2,-59.35
CA-2017-100052,2019-01-02,2019-01-04,Standard Class,CUST-4545,Home Office,United States,San Diego,California,46241,West,PROD-245086,Technology,Machines,All-in-One Printer,384.83,2,0.2,-35.53
CA-2018-100053,2016-01-29,2016-01-31,First Class,CUST-1745,Consumer,United States,Dallas,Texas,48290,South,PROD-444595,Technology,Accessories,Mechanical Keyboard,559.05,1,0.2,45.64
CA-2016-100054,2018-06-21,2018-06-26,Standard Class,CUST-1841,Corporate,United States,San Diego,California,24953,West,PROD-293155,Furniture,Furnishings,Wall Clock,463.73,1,0.0,-50.53
CA-2017-100055,2017-09-14,2017-09-15,Standard Class,CUST-2940,Home Office,United States,San Antonio,Texas,89471,South,PROD-444595,Technology,Accessories,Mechanical Keyboard,2327.24,4,0.2,735.64
CA-2018-100056,2018-05-28,2018-06-01,Second Class,CUST-2625,Consumer,United States,Houston,Texas,44687,South,PROD-797682,Technology,Phones,Smartphone X 128GB,286.36,2,0.0,-30.38
CA-2016-100057,2018-04-16,2018-04-23,Same Day,CUST-5771,Consumer,United States,Houston,Texas,47762,South,PROD-598119,Technology,Machines,Inkjet Printer,441.18,1,0.2,120.31
CA-2017-100058,2017-02-09,2017-02-15,Second Class,CUST-9922,Consumer,United States,Chicago,Illinois,44816,Central,PROD-076447,Furniture,Bookcases,Atlantic Metal Bookcase,1016.22,2,0.2,64.52
CA-2018-100059,2018-08-17,2018-08-21,Same Day,CUST-5460,Home Office,United States,Dallas,Texas,74722,South,PROD-491151,Office Supplies,Binders,A4 2-Ring Binder,1884.65,4,0.2,-347.68
CA-2016-100060,2017-04-13,2017-04-13,First Class,CUST-1659,Consumer,United States,San Diego,California,78021,West,PROD-844518,Technology,Copiers,Commercial Copier 3000,1116.6,2,0.3,201.96
CA-2017-100061,2018-10-04,2018-10-05,Same Day,CUST-6700,Corporate,United States,Philadelphia,Pennsylvania,52081,East,PROD-797682,Technology,Phones,Smartphone X 128GB,697.74,3,0.3,-18.89
CA-2018-100062,2018-03-31,2018-03-31,Same Day,CUST-2442,Corporate,United States,Phoenix,Arizona,52372,West,PROD-728041,Furniture,Furnishings,Picture Frame Set,369.49,1,0.3,17.72
CA-2016-100063,2017-01-19,2017-01-24,Same Day,CUST-8242,Consumer,United States,Houston,Texas,45003,South,PROD-444595,Technology,Accessories,Mechanical Keyboard,1974.76,4,0.3,-251.08
CA-2017-100064,2017-05-05,2017-05-07,First Class,CUST-1224,Home Office,United States,San Antonio,Texas,22217,South,PROD-132522,Furniture,Bookcases,Sauder Heritage Bookcase,467.94,1,0.1,46.34
CA-2018-100065,2017-08-20,2017-08-24,Same Day,CUST-8905,Corporate,United States,Houston,Texas,69871,South,PROD-444595,Technology,Accessories,Mechanical Keyboard,1328.19,2,0.1,422.92
CA-2016-100066,2017-07-19,2017-07-25,First Class,CUST-9318,Corporate,United States,New York,New York,47072,East,PROD-598119,Technology,Machines,Inkjet Printer,504.01,2,0.3,3.57
CA-2017-100067,2018-02-11,2018-02-18,First Class,CUST-4090,Home Office,United States,Houston,Texas,84946,South,PROD-152224,Office Supplies,Paper,Premium Glossy Photo Paper,180.57,1,0.3,40.29
CA-2018-100068,2018-02-19,2018-02-25,Standard Class,CUST-9115,Consumer,United States,Chicago,Illinois,75836,Central,PROD-245086,Technology,Machines,All-in-One Printer,235.96,4,0.3,-45.02
